Time post-injection (months),MBSC Region,iM2,iM1,iAI,iPrL,iMO,iVO,iDP,cM2,cM1,cAI,cPrL,cMO,cVO,cDP,iCg,iM,iS1,iAI-b,iCl,iDEn,iPir,iAcb,iot,iCPu,iLS,iMS,cCg,cM,cS1,cAI-b,cCl,cDEn,cPir,cAcb,cot,cCPu,cLS,cMS,iRSC,iS1-b,iS2,iIns,iAIP,iEn,iHipp,iMDThal,iLDThal,iVLThal,iVMThal,iTC,iCA,iBLA,iBMA,cRSC,cS1-b,cS2,cIns,cAIP,cEn,cHipp,cMDThal,cLDThal,cVLThal,cVMThal,cTC,cCA,cBLA,cBMA,iRSC-b,iV,iAu,iTeA,iEct,iPRh,iLEnt,iBLP,iPMCo,iSC,iCauThal,iSN,iMamm,iDpMe,iVTA,iPAG,cRSC-b,cV,cAu,cTeA,cEct,cPRh,cLEnt,cBLP,cPMCo,cSC,cCauThal,cSN,cMamm,cDpMe,cVTA,cPAG,iSuM,cSuM,iV-b,iEnt,iPS,iRSA,iSuC,iIC,iPnO,cV-b,cEnt,cPS,cRSA,cSuC,cIC,cPnO
3,NTG,0.2262382,0.035277485,0.047919275,0.036376505,0.005736093,0.04097408,0.03842557,0.084717285,0.028549363,0.070628841,0.033225685,0,0.019831374,0.044170233,0.04019611,0.056476843,0.017626845,0.03662232,0.0519526,0.023115197,0.029860867,0.00066412,0,0.019537128,0,0.00207723,0.005834967,0.011261654,0.003840049,0.02213223,0.008285465,0.00046212,0.000642246,0.0012855,0,0.002546787,0,0.000832067,0.03532483,0.0638941,0.14918245,0.1859142,0.15906045,0.01997948,0.0010685,0.016826455,0,0.00143999,0.001441885,0.002238809,0.004743207,0.2468351,0.002169686,0.01786545,0.000915154,0.002264039,0.00853554,0.044858215,0.000760925,0,0.000132727,0,0.000212732,0,0,0.00057646,0.07213125,0,0.016588799,0.011313907,0.02168094,0.034537133,0.05419245,0.053257328,0.0963862,0.02729096,0.0677284,0,7.84675E-05,0.16271515,0.00692165,0.000530419,0.01424005,0.001646583,0.002389192,0.001678463,0.001136534,0.00290879,0.003203925,0.005731583,0.021996245,0,0.002739489,0,0.00430648,0.001672835,0,0.002289858,0,0,0,0.00083535,0.006864711,0.01540448,0.00526039,0.00032453,0,0.000582955,0.002342118,0.001511542,0.005214703,4.70214E-05,0,0.000885595,0,0.000508075
3,NTG,0.26513635,0.033279205,0.03616722,0.01479254,0.007199495,0.03463685,0.01060083,0.1245451,0.040443425,0.04993365,0.01372536,0.005087219,0.07409467,0.07998943,0.0078047,0.087570039,0.007539451,0.002404301,0,0.00456668,0.104408241,0.000615015,0.00537988,0.00926131,0,0,0.00192955,0.01691178,0.004624543,0.034296985,0.016584875,0,0.008490622,0.00074162,0.000434026,0.002268817,0,0,0.071241635,0.07316765,0.1417644,0.3851087,0.3275463,0.02128339,0,0.010669593,0.010542095,0,0.0225873,0.006885385,0.00067895,0.05599535,0.019472172,0.004672768,0.006000979,0.012185816,0.011447845,0.018361103,0.00492308,0,0.000275018,0.00101786,0.000555775,4.74121E-05,0.000188497,0.0064875,0.15791715,0.000165627,0.000996295,0.0132194,0.00434396,0.053657783,0.068760928,0.067567638,0.07441713,0.08738265,0.081013285,0,0.000768961,0.08380755,0.008030025,0.041040735,0.005934446,0,7.26775E-05,0.001567031,0.002678227,0.003972106,0.00445926,0.004223213,0.02434108,0,0.000106895,0,0.000255494,0,0.066521545,0,0,0.001713423,0.0052954,0.000465834,0.006160565,0.012056995,0.000396483,0.006134145,0.000140964,0.001630519,0,0.000123123,0.000732593,0,0,0,0.000251321,0
3,NTG,0.1664917,0.07256125,0.031884055,0.006134319,0.003214424,0.021245194,0.00502864,0.03770107,0.029983495,0.0189736,0,0,0.001219645,0.01608145,0.0080777,0.017929145,0.016505415,0.021617275,0.03377249,0,0.000272816,0.000267976,0,0.003023443,0.00092496,0.000208752,0,0.004182758,0.01073588,0.004628745,0.00761282,0,0.000018792,0.000265341,0,0.000612259,0.000460861,0,0.000647178,0.006307476,0.01379795,0.02635692,0.0448124,0,5.48606E-05,0.00285799,0,0,0,0.000572201,0.00313691,0.05697065,0.00020037,0,0,0.000512621,0.003651631,0.059593125,0,0,0,0,0,0.000313226,0,0.000155837,0.04075233,0,0,0.0023948,0.001396101,0.007425943,0.001308036,0.000449864,0.004010453,0,0,0,0,0.0828662,0,0,0.04758045,0,0,8.97695E-05,0,0.005010913,0.014431305,0.0145728,0,0,0,0,0,0,0,0,0,0,0,0,3.92404E-05,0.004208465,0.000274821,0,0,0,0.001196338,0.000150749,0.00087684,0.000575062,0,0,3.50873E-05,0
3,NTG,0.11078715,0.010213045,0.007480451,0.016690325,0.00822587,0.015667375,0.03289836,0.024719455,0.001127455,0.02018811,0.0398545,0.0038859,0.01186128,0.01889669,0.006687349,0.0173917,0.02034896,0.07655975,0.017177205,0.001420415,0.000342831,6.24255E-05,0,0.005720036,0,0,0.001457024,0.006225678,0.005916478,0.008463165,0,0,0,2.45893E-05,0,0.000743862,0,0,0.00689378,0.009019425,0.03774545,0.00822219,0.02071298,0.001883025,0.000637676,0.000565539,0,0,0.000414096,0.000121846,0.000124135,0.26047775,0.00378649,0.000322166,0.001001301,0.00517928,0,0,0,0.000119966,0,0.00376842,0.000212901,0.000153159,0.000135401,0,0,0,0.000402401,0.004916995,0.00296215,0.040573365,0.010234191,0.00119673,0.00381154,0,0,0,0,0.15305495,0,0,0.01026556,0,0,0.000389094,0.000197804,0.003062298,0.005060275,0.005466905,0.003090104,0,0,0,0,0.000391298,0,0.000079267,0,0,0,0,0.002408736,0.006025666,0,0.01165928,0,0.000032414,0.00030782,0.000925218,0.001418773,0.000379089,0,9.47995E-05,0,0
3,NTG,0.06827842,0.013560685,0.00679659,0.00127935,0.001371851,0.021749325,0.01898688,0.021662733,0.012343791,0.012465081,0.012678515,0.00125967,0.005116543,0.003802935,0.003743552,0.022053691,0.015404785,0.040775595,0,0,0.00529779,0,0,0.005736436,0,0.00148313,0.001225574,0.010065958,0.00779226,0.010198225,0,0,0.000728298,0,0,0.001676846,0,0,0.01096496,0.008771212,0.006891617,0.004069846,0.045269805,0,0,0.001166402,0,0.000336786,0.000285943,0.000243106,0.002526645,0.00054041,0.00067832,0.002048063,0.001949027,0.002291306,0.015410445,0.00296291,0,0.000280043,0.000694914,0,0,0,0,0,0.000734765,0.00309876,0.000666,0.00830344,0.025829117,0.017161773,0.002197222,0.004934908,0.02570081,0,0.002573225,0.002474152,0.0954276,0,3.71468E-05,0,0,0.000514627,0.000493426,0.00045347,0,0.002366945,0.003033963,0.000811118,0,0,0.000221089,0,0.000125451,0,4.03746E-05,0,0,0,0,0.00582788,0.001857213,0.004023508,0.001212423,0.000770576,0,0,0.000436663,0,0,0,0,0,0,2.29461E-05
3,NTG,0.12172775,0.02237345,0.02465553,0.00834284,0.005910509,0.026618075,0.034573135,0.01635408,0.006356481,0.01464741,0.002129398,0.0064471,0.00788966,0.0111378,0.02403853,0.03015074,0.006498027,0.022670655,0.001606015,0,0.000277722,0.001985483,0.01234078,0.008640767,0.000198148,0.00784602,0.0108932,0.005156007,0.01657285,0.006661535,0,0,0,0.000233305,0.000216421,0.0002543,0,0.000871155,0.008768841,0.008493675,0.027870855,0.0292517,0.013987893,0.002301445,0.002884672,0.000770592,0,0,0.000127117,0,0,0.007101708,0,0,0.001010998,0.002126702,0.004346083,0.023238935,0,0.00023213,0.003061045,0,0,7.13815E-05,0,0,0.02770649,0,0.000634165,0.002693623,0.00572679,0.002382483,0.028942938,0.021583045,0.001478415,0,0.003338165,0,0.000247797,0.288016,0,0,0.011810535,0.003243713,0.000413817,0.000179973,0.000896939,0.001901197,0.00197824,0.00947038,0.000832024,0.000485131,0,0,0,0,0,0,0,0.000224947,0.01453585,0,0,0.004152083,4.20524E-05,0,8.74185E-05,0.001710972,0,0,0.000661508,0,0,0,0,0.020382419
3,G20,0.0874007,0.014916305,0.03477961,0.02468885,0.035971518,0.025084055,0.14576235,0.029005745,0.000153884,0.01213083,0.006754561,0.010398805,0.007764758,0.037558585,0.03389386,0.1629996,0.07983975,0.101829385,0.00158313,0.003401315,0.089105814,0.001406518,0,0.039434618,0.001789105,0.002413536,0.004025991,0.014069803,0.01083363,0.007639554,0,0.003088835,0.007509857,0.000936447,0,0.019195075,0.000198129,0.001112365,0.01594767,0.529546,0.3829393,0.35052415,0.2179932,0.001651419,0.004104853,0.042403051,0,0.000119961,0.004590284,8.52435E-05,0.00721119,0.001433821,0.00830449,0.001568653,0.004354779,0.010268385,0.013264805,0.01435364,0,0.000055905,0.002145455,0.000414553,0,0,0.00219292,0,0,0,0.003874135,0.039021305,0.06877055,0,0.071158925,0.0503166,0.06378975,0.005848435,0.024803285,0,0.001508903,0.2661505,0,0.002072481,0.00240655,0.00094035,0,0.003236448,0.002182795,0,0.002172873,0,0.00893588,0.001446935,0.000209258,0,0.001074261,0.00263732,0,0,0,0,0.0195559,0,0.01545375,0,0.000232907,0,0,0.004836855,0.000234333,0.001757594,0.00094685,0.000362824,0,0,0,0.008463995
3,G20,0.2001839,0.0501431,0.0881466,0.00368015,0.005532593,0.0452512,0.0599255,0.07537815,0.0253535,0.0467172,0.00296952,0.007375112,0.01536431,0.007508913,0.0347637,0.08380595,0.0912126,0.1095636,0.07433225,0.013494115,0.012941533,0.001468251,0.000889125,0.030156335,0.000076781,0,0.010752995,0.020182238,0.03978265,0.0777637,0.020681315,0,0.000947223,0.000508973,0,0.006445317,0,0,0.0497561,0.0513447,0.1031674,0.1528434,0.0875452,0.01188035,0.00261879,0.0448549,0.00047364,0.000239915,0,0,0.00518367,0.097152635,0.01063033,0.00345329,0.01328404,0.025531975,0.094756,0.03950505,0,8.18988E-06,0.00527942,0,0,0,0,0,0,0,0.00303572,0.0477566,0.01700503,0.0619418,0.05635901,0.0791637,0.05372995,0.0894691,0.05664265,0,0,0.704686,0.001484904,0.00006822,0.10591915,0,0.002492235,0.001144235,0.002520003,0.006656976,0.034195625,0.01749407,0.0250725,0.01811878,0.001030389,0,0,0,0.002737252,0,0.002651705,0.001168905,0.00508561,0,0.024370235,0.02181457,0,0,0,0.004972365,0,0.002992575,0.001869604,0.000400659,0,0,0,0
3,G20,0.07795959,0.015269045,0.023336445,0.04261046,0.005102065,0.008707001,0.053335795,0.042541851,0.002422408,0.024165279,0.01004409,0.02110205,0.01289038,0.050441017,0.02279849,0.038600538,0.005860533,0.01875781,0.01910678,0.0107261,0.04622184,0.01822338,0,0.018172,0.001668389,0.01049938,0,0.001199476,0.001999081,0.00877132,0,0.0084498,0.001333872,0.001384581,0,0.005917504,0.000920505,0,0.007709136,0.017452785,0.02649986,0.012826185,0.009294083,0.00691936,0.002198119,0.00885698,0,0,0.000239756,0.001392457,0.007873495,0.00666443,0.000314449,0,0.00139738,0.006401381,0.008708895,0.008346265,0.000460287,0,0,0.02904818,0,0.001028706,0.000634894,0.00115129,0,0.001331545,0.004499201,0.019830775,0.009464135,0.038183293,0.02779573,0.028664635,0.0684633,0.859006,0.446324,0.002148635,0.023256295,0.21626375,0,0.001804154,0.04361996,0.003249663,0.002980365,0.000276665,0.003892975,0.003304429,0.009131453,0.011204535,0.011815332,0.01820485,0.000350535,0.00048577,0.02555945,0.0090388,0.008301225,0.000283607,0.003277975,0.001357167,0.0796715,0.017630615,0.015597145,0.028038125,0.00662165,0,0.00916781,0.010225926,0.000366491,0.010033837,0.008271051,0.001377075,0,0.009595402,0.004350245,0.000654315
3,G20,0.22693182,0.033087185,0.05976457,0.011938765,0.010137059,0.018608303,0.060801815,0.103622925,0.02168745,0.020215964,0.00686583,0.00817935,0.068749,0.029949444,0.008744694,0.03316429,0.014074585,0.008925305,0.01473191,0.010388988,0.014162959,0.000210276,0,0.023521883,0.000361182,0,0.00070343,0.002959986,0.005762876,0.000312677,0,0,0.000324543,4.14746E-05,0,0.00578713,0.000216321,0,0.019286913,0.021156436,0.03400016,0.038099369,0.01248385,0.008987495,0.002450801,0.0409171,0,0,0.0118821,0,0.004322625,0.0291707,0.002810459,0.01572469,0.000641819,0.000308345,0,0,0,0.000119179,0.003028656,0.2382562,0,0,0.000346055,0,0,0.000792481,0.00542709,0.006295526,0.033386485,0.066276155,0.023551828,0.01363917,0.02704133,0.05930866,0.03532155,0.0282639,0.026745925,0.22786825,0.000257747,0.001089769,0.000121533,0.00114915,0.004015715,0,0,0.002357419,0.000998097,0.00078235,0.002425745,0,0,0,0.000290735,0,0.022259775,0.044909944,0,0.00140185,0.0541014,0,0.02332874,0.00578153,0,0,0.00229898,0,0.012307246,0.003723015,0.000229997,0.002295879,0,0.0048231,0,0
