,Cg (ACAd + ACAv),Acb (ACB),"TC (AHN, LHA, TU, VMH)",AI (AId),"AI-b (GU, Ald, Alv)",AIP (AIP),"MDThal (MH, LH, PVT, IMD, MD, Amd, CM)","DpMe (APN, MRN, NPC)","Au (AUDd, AUDp, AUDv)",BLP (BLA),"BLA (BLA, LA)","BMA (BMA, COAa, COAp, MEA, PAA)","CA (CEA, IA)",Cl (CLA),PMCo (COAp),CPu (CP),"PnO (CS, PRNr, TRN)","Hipp (CA1, CA2, CA3, DG)",Ect (ECT),LEnt (ENTl),"Ent (ENTl, ENTm)",DEn (EPd),"En (EPd, EPv)","IC (CUN, ICe, MRN)",LDThal (LD),"CauThal (LGd, LGv, LP, MGd, MGm, MGv, PO, SPFp)","LS (LSc, LSr, LPO)",Mamm (MM),M1 (Mop),M2 (Mos),M (MOp + MOs),"SC (MPT, NOT)",MS (MS),DP (ORBl),MO (ORBm),VO (ORBvl),PAG (PAG),"PS (PAR, POST, PRE)",PRh (PERI),Pir (PIR),PrL (PL),"VLThal (RE, RH, SMT)","RSC (RSPd, RSPv)","RSC-b (RSPagl, RSPd, RSPv)","RSA (RSPd, RSPv)","VMThal (RT, VAL, VM, VPL, VPM)","SuC (SCm, SCs)",ot (SI),"SN (SNc, SNr)",S2 (SSs),"S1 (SSp-m, SSp-n, SSp-ul, SSs)","S1-b (SSp-II, SSp-tr, SSp-bfd)",SuM (SUM),TeA (TEa),Ins (VISC),"V (VISal, VISam, VISp)","V-b (VISp, VISpl, VISpm)",VTA (VTA)
M (MOp + MOs),0.003215319,0.047201364,0.000507491,0.027342542,0.043127339,0.00904017,0.008887004,0.015114939,0.009317411,0.004786809,0.002839832,5.41396E-05,0.003700725,0.05958693,9.65204E-05,1.78797587,0.015913972,9.99206E-05,0.026520473,0.033405822,0.01692689,0.021726194,0.011115648,0.014194628,0.000376951,0.001066138,0.003081659,3.51616E-05,0.799179964,0.568681933,0.683930949,0.000154866,0,0.071374829,0.003038736,0.031536035,0.05204496,0.000500226,0.023365538,0.029826796,0.00309314,0.006163173,0.006713663,0.004475776,0.006713663,0.012943137,0.015618361,0.00498599,0.002114163,0.134793465,0.116502731,0.051743023,0.000515111,0.020492271,0.038067549,0.005472299,0.002647388,0.003450238
"SC (MPT, NOT)",0,0,0.092048932,0.000344873,0.000214326,0,0.04630376,0.111558448,0.000163656,0,0,0.00025875,0,0,0.000894463,0,0,0.001496343,0,0,0,0,0,0.043905003,0.577540058,0.05075642,0.003294598,0,0,0,0,0.107854083,0,0,0,0,1.419553703,0.001736526,0,0,0,0.151982457,0.014808851,0.009872567,0.014808851,0.024859853,1.827056895,0,0.003783239,0,0.000235646,0.002250255,0,0,0.000208979,6.43334E-06,0,0.013950818
MS (MS),0.005262291,0.034880904,0.131971977,0,6.97096E-07,0.000547098,0.010169393,0,6.49578E-05,0.007506211,0.004318359,0.035019034,0.003441478,0.001369831,0.065876294,0.031639234,0.003055773,0.802098082,0.021449855,0.5419086,0.50995987,0.007710672,0.00632883,0,0.003012157,0.000560631,0.131804333,0.045786634,0.003626836,0.003640845,0.003633841,0,0,0,0.001700509,0.004418758,0.002406689,0.086251258,0.004742117,0.014680613,0,0.011719131,0.033370332,0.023564764,0.033370332,0.001087714,0,0.078227204,0.001350799,7.39882E-06,7.88576E-06,1.05208E-05,0.027901198,0.002029468,0,0.001268721,0.000934074,0.012488602
DP (ORBl),0.062650384,0,0.0028283,0.069328703,0.059237234,0,0.053669144,0.061789465,0,0,0,4.96356E-05,0,0,0,0,0.028973786,0,0,0,0,0,0,0.05710653,0,0.002820899,0.000980729,0,0,0.834262633,0.417131317,0.000101031,0,0.926977065,0.049813569,0.02409081,0.209969604,2.75517E-06,0,0.004666261,0.06088316,0.042977377,0,0,0,0.023460721,0.048754461,0,0.003311115,0,0,0.014131407,0,0,0,0,0,0.030723591
MO (ORBm),0.173731946,0.453504594,0,0.150942594,0.137241198,0.044005092,9.5271E-05,0,0,0.023670419,0.0155883,7.77625E-05,0.002176927,0,0,0.577534243,0,0,0.019100249,0,0,0,0.000266625,0,0,3.63603E-05,0.010071285,0,0,0.130025529,0.065012764,0,0.0084927,0.069928068,0.428232888,0,0,6.06237E-05,0.005618576,0.034556515,0.538729054,0.005229163,0,0,0,0,0,0.03869476,0,0,0,0,0,0.005946142,0.004764987,0,0,0
VO (ORBvl),0,0,0,0.104725285,0.042098392,0,0.011836514,0.013536895,0.01027863,0,0,4.9765E-05,0,0.098972713,0.000196907,0.820282146,0.02347324,3.65398E-05,0.002717813,0,0,0.02176662,0.01088331,0.01521397,0,0.000647348,0.002222635,0,0.274369021,0,0.137184511,0,0,0.123708244,0,0.725385051,0,0,0,0.096770524,0,0.027370677,0,9.60404E-05,0,0.012648219,0,0,0.000305396,0.019818064,0.013314685,0.023812226,0,0.020008901,0,0.004063048,0.001434893,0
PAG (PAG),0,0.005086959,0.005855132,8.86787E-05,0.000120009,0,0.00688656,0.027806523,3.64974E-05,0,0,7.66415E-05,0.000379885,0.000141975,0,0.010214328,0,0,0,0,0,0,7.73124E-05,0.02701771,0,0,0,0,0.00011267,0,5.63352E-05,0.002513359,0.002900897,0,0,0,0.315384861,2.03514E-05,0,0.001285141,0,0.006630347,0,0,0,0.000339741,0.065464155,0.017875657,0.00318186,0.000544479,0.000364908,0.00013369,0.002211248,0,0.000391395,0,0,0.014670882
"PS (PAR, POST, PRE)",0.000882946,0.000475878,0.001210517,4.71312E-05,0.000139325,0.000186312,0.002101516,0.013969321,7.11209E-05,0,0,1.47153E-05,4.86766E-05,0,0,0,0.006119843,0.027485048,0.368889996,0.23107892,0.262866945,0,8.99153E-07,0.014724125,0.000558924,0.002509395,0.00318968,0.002389718,0,0,0,1.78544E-07,0.006375629,0,4.5491E-05,0,0.005345695,0.0921336,0.001685533,0.000331694,1.39637E-05,0.002812573,0.008849397,0.005899598,0.008849397,0.000568645,0.000339893,0.000422628,0.001141925,0.000227411,8.30682E-05,0.00019001,0.002034429,0.038451968,0.000166948,0,0.002897791,0.002663865
PRh (PERI),0.082105327,0.908566998,0.004435715,0.098054548,0.089987813,0.102334898,0.004584674,0.003334856,0.161795209,0.146107692,0.124153673,0.005191572,0.074127988,0.113830557,0,3.400991062,0.000178525,0.007605475,0.288937745,0.027212868,0.013606434,0.149892402,0.095353432,0.00417218,0,0.000361736,0.047560817,0.00135323,0.400874271,0.419286721,0.410080496,0.001672523,0.000140167,0.04351863,0.055382158,0.077745407,0.195540073,0.002118977,0.219424507,0.326308557,0.094875406,0.019245544,0.021147024,0.016396212,0.021147024,0.001342512,0.03456767,0.173775139,0.000197545,0.361025579,0.16194299,0.282032576,0.001382864,0.289938748,0.126728048,0.115648054,0.071883137,0.000213934
Pir (PIR),0,0,0,0,0,0,0,0,0,0,0,6.72946E-05,0,0,0,0,0,0,0,0.003934938,0.001967469,0,0.000912258,0,4.90526E-06,0,0.002691789,0,0,0,0,0,0.000623447,0,0,0,0,0,0,0.03529014,0,0,0,0,0,0,0,0,7.22658E-05,0,0,0,0,0,0,0,0,0
PrL (PL),0,0.030440456,3.00837E-05,0.083930862,0.066499971,0.047367274,0.04632204,0,0.000879961,0,0,0.000615071,1.46936E-05,0.223746076,0.000203134,0.519781695,0.001262522,0.00176963,0.003995963,0.056768972,0.029052485,0.08917375,0.044586875,0,0,3.18568E-05,0.000364714,0,0,0,0,0,0,0.021345244,0,0,0.114256856,0.000629631,0.014674123,0.010380696,0.220261642,0.001763131,0,0,0,0,0,0,0.002025289,0,0.001532463,0,0.000462542,0.012977986,0.006867649,0,0,0.001980608
"VLThal (RE, RH, SMT)",0.044370246,0.129798943,0.004927026,0.011527647,0.013217611,0.013142279,0.003554294,0,0.000597847,0.017777058,0.011307522,0.008889508,0.005204977,0.016065905,0.009319771,0.223463648,0,0.019245424,0.03174247,0.279685551,0.175249679,0.033577246,0.019284936,0,0.000342732,1.99709E-05,0.011139333,0,0.024962921,0.037917089,0.031440005,1.03504E-05,0.002067338,0.103731041,0.026314011,0.055287368,0,0.015230007,0.025242768,0.094773314,0.072186662,0.009267763,0.022637843,0.017034974,0.022637843,0.00590777,6.52547E-05,0.04565509,0,0.001128045,0.001064215,0.002108839,0,0.00883014,0.001473077,0.005630679,0.004583163,0
"RSC (RSPd, RSPv)",0.101429279,0,0,0,0,0,0.001137162,0,0,0,0,0,0,0,0,0,0.004116389,0,0.023560641,0.006274553,0.007646211,0,0,0,0,2.0383E-05,0,0,0.038883122,0.112196304,0.075539713,0,0,0,0,0,0,0.021220876,0,0,0.000449172,0.000661995,0.377545731,0.254480082,0.377545731,7.94021E-05,0.000948964,0,2.34439E-05,0,0,0.002277808,0.001163399,0.000310516,0,0.006848102,0.002260637,0.000845399
"RSC -b (RSPagl, RSPd, RSPv)",0.067619519,0,0.001432025,0.000284441,0.000283443,0.000620152,0.003671798,0,0.001531736,0,0,0.000228352,0.000154696,0.000491922,0.000550927,0,0.03989876,0.000409103,0.015707094,0.011518738,0.008765325,0,0,0.005161603,0,0.000964393,0,0.000219919,0.025922081,0.074797536,0.050359809,0.000302204,0,0,3.99677E-05,0,0.070769982,0.014147251,0.002657785,0.001014179,0.000299448,0.003705802,0.251697154,0.179552107,0.251697154,8.62682E-05,0.064900369,0,0.00031161,0.00031993,0.000223328,0.001518539,0.000775599,0.017997336,0,0.004565401,0.004149382,0.000973662
"RSA (RSPd, RSPv)",0.101429279,0,0,0,0,0,0.001137162,0,0,0,0,0,0,0,0,0,0.004116389,0,0.023560641,0.006274553,0.007646211,0,0,0,0,0.000552753,0,0,0.038883122,0.112196304,0.075539713,0,0,0,0,0,0,0.021220876,0,0,0.000449172,0.000661995,0.377545731,0.254480082,0.377545731,7.94021E-05,0.000948964,0,2.34439E-05,0,0,0.002277808,0.001163399,0.000310516,0,0.006848102,0.002260637,0.000845399
"VMThal (RT, VAL, VM, VPL, VPM)",0.017654816,0.013630174,0.002289609,0.000595383,0.000266622,0.000121586,0.007263746,0.019238846,0,0,0,9.56216E-05,0,0.000143202,0,0,0.004583456,0.000431025,0.001126005,0.000200753,0.000766628,0,0,0.01659869,8.46373E-06,0.000366524,0.000286278,6.41657E-05,3.29079E-05,0.003444538,0.001738723,0.001151061,0,9.60185E-05,0.001233369,0,0.069905837,0.000567351,8.90266E-05,0.001901632,0.005259316,0.01620524,0.003283063,0.002388474,0.003283063,0.002389275,0.018590365,0,9.1916E-05,0.000359926,0.000187854,0.000289667,0.000587841,0.000418555,0,0.0007643,0.000606176,0.006609244
"SuC (SCm, SCs)",0,0,0.002252294,6.83252E-05,4.67676E-05,1.20737E-05,0.001939236,0.021134013,9.06828E-06,0,0,0.000720593,9.47039E-05,0,2.74372E-05,0,0.020222254,0.003052443,0,0,0,0,0,0.024086225,0.000397081,0.007261196,0.000367718,0,0,0,0,0.003511789,0,0,0,0,0.07089672,0,7.97519E-07,0.000285116,0,0.003311744,0,0,0,0.000913418,0.089600837,0.001146779,0.000163071,0.000197925,7.24571E-05,8.44621E-05,0,0,1.38795E-05,0,0,0.000929722
ot (SI),0,0,0,0,0,0,0.008803305,0,0,0.011607781,0.006099587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41681E-05,0,0,0,0,0,0,0,0,0,0,0.001391487,0,0,0,0,0.000812416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SN (SNc, SNr)",0,0,0,0.00019785,0.000123934,0.00018127,0.013834418,0,0,0,0,5.62813E-05,0,0,0.000127555,0,0.006032462,0.001281412,0,0,0,0,0,0.001500543,0,0.00040098,0.000365933,0.000208433,0,0,0,0,0,0,0,0,0.065643326,0,0,0.000786195,0.000110843,0.001172839,0,0,0,0.002243994,0.051516404,0,0,0.000931053,0.000640101,0.000465868,0.001229575,0,0.000300741,0,6.89647E-06,0.01048895
S2 (SSs),0,0,1.80107E-05,0,0,0.008129004,0.000208198,4.2618E-05,0.010752386,0,0,0,0.000314397,0.001989733,0,0.006140876,0.002999142,0.004290617,0.018430756,0,0,0,0,0,2.46754E-06,2.53535E-06,0.001447031,0,0.014354538,0.002546842,0.00845069,2.2068E-06,0,0,0,0,0,0,0.019205625,0,0,0.000702358,0,0,0,0.001293053,0,0,0,0.728873371,0.222181835,0.063881645,0,0.01592698,0.140602567,0,0,0
"S1 (SSp-m, SSp-n, SSp-ul, SSs)",0.000538045,0.001638911,2.70792E-05,0.003442784,0.017897205,0.014846793,0.000129104,0.000343024,0.006719446,0.000249339,0.00017352,3.60941E-05,0.001512154,0.013045648,5.24794E-05,0.446540886,0.001256304,0.001388187,0.01867876,0.003744483,0.00189348,0.002967047,0.001527088,0.000350373,6.17694E-06,7.97238E-05,0.005761608,0,0.226925626,0.065177326,0.146051476,6.51472E-07,0,0,0,0,0,1.66686E-05,0.016429378,0.00242834,0,0.000285999,0,3.23379E-06,0,0.001526638,4.17785E-05,0.000624404,9.61535E-06,0.345058776,0.248186326,0.053111251,0,0.017584586,0.109260601,3.92484E-06,1.14895E-05,3.87959E-05
"S1-b (SSp-bfd, SSp-II, SSp-tr)",0.009268185,0.006616777,0.000138316,0.000863374,0.001482245,0.006224786,0.000293873,0.000620117,0.044737406,0,5.54651E-05,2.54905E-05,0,0.004141912,0,0.038399647,0.004515677,0.003091724,0.025108124,0.025695924,0.012936491,0.00187455,0.000937275,0.001217794,1.45087E-05,1.26853E-05,9.63146E-05,2.02891E-05,0.009541123,0.016664869,0.013102996,2.38845E-05,0.000161621,0.006969503,0.000540045,0.007240846,0.026444675,0.00025908,0.022695025,0.014660331,0.001939492,0.003486345,0.00335443,0.002333388,0.00335443,5.41995E-05,0.002643277,0,4.5311E-05,0.003961367,0.000990342,0.181444336,4.60063E-06,0.038981154,0,0.007635303,0.002770444,0.00014124
SuM (SUM),0.021888285,0,0.06253894,0,0.000322037,0,0.01076822,0,0,0,0,0,0,0,0,0,0.001157301,0.052123961,0,0.041467444,0.030176992,0.000986916,0.000493458,0,0,0.000587848,0.029110059,0,0,0,0,0,0,0,0.003205441,0,0,0.002026614,0,0,0,0.007741506,0.010046347,0.007400606,0.010046347,0.009181981,0,0,0,0,0,0,0,0,0,0.0020607,0.000393708,0
TeA (TEa),0,0.029027413,8.8554E-05,0.017315141,0.015056163,0.010020226,0.003700406,0.000853069,0,0.016438199,0.012464197,0.000664165,0.005804762,0.019533554,0.001077743,0.65495304,0,0,0.166250364,0.031057938,0.015528969,0.005379749,0.003189256,0.000786791,0,0.000252924,0.000186,0,0.040391091,0.017961836,0.029176464,0.000152844,0,0.002609863,0.00031009,0.001264084,0.00377141,0,0.019712353,0.013870007,0.000800214,0.002766034,0,0,0,0.001251893,0.015365578,0.007632543,0.000272368,0.079714428,0.03501868,0.013474573,0,0.312899961,0.031037639,0.008359891,0.003189823,0.000203653
Ins (VISC),0,0,0,0.020276308,0.04995119,0.205945282,0,0.007574283,0,0.015060718,0.008221653,0.000748697,0.02142855,0.079256976,0,1.198202558,0.003089042,0,0.027954151,0.05930258,0.02965129,0.015682162,0.009984553,0.007156699,0,0.001373719,0,2.42023E-05,0.159961315,0.083286377,0.121623846,0,0,0,0,0,0,0,0.036423191,0.045142658,0,0,0,0,0,0.000656949,0,0,0.000411804,0.074302075,0.041020463,0.000378249,0.000447151,0,0.464818693,0,0,0
"V (VISal, VISam, VISp)",0.02688476,0.000552006,0.000156905,0.000396423,0.000319411,0.000209119,0.000906735,0,0.006775732,0,0,6.73446E-05,0,0.000438689,2.51938E-06,0.06533967,0.000193452,0.000568566,4.31197E-06,0.001998937,0.00136035,2.87899E-05,1.50469E-05,0.000160629,9.79188E-05,3.15769E-05,0.000927193,0.000467494,0.009959395,0.01060789,0.010283643,5.2355E-05,0.000101924,0.001370547,0.00038472,0.005389568,0.001840959,0.000643636,0.000569979,0.001094003,0.000883291,0.00379103,0.063778922,0.056157748,0.063778922,4.454E-05,0,0,0.000155252,0.000292051,0.000337387,0.005089029,7.27274E-05,0.006097298,0.00019902,0.091303134,0.04825214,5.09066E-05
"V-b (VISp, VISpl, VISpm)",0.00580787,0.000552006,0.004034316,0,0,0,0.001835589,0,0,0,0,3.7763E-05,0,0,0,0.007778207,0.03418486,0.000605145,0,0.013075874,0.009638936,0,0,0.003716773,3.87865E-05,0.000630174,0.001032877,0.000467494,0,0.001979597,0.000989799,0.000237362,0.000101924,0,1.70185E-05,0,0.04104741,0.005696032,0.000237973,0,8.07906E-05,0.001358542,0.020407318,0.018037785,0.020407318,2.45871E-06,0.063691317,0.001460798,0.000631791,0,0,2.0703E-05,0.000108494,0.014993256,0,0.080946693,0.143403825,7.11252E-06
VTA (VTA),0.005557741,0.306420986,0.12961045,0.003291335,0.003767893,0.001205455,0.023152973,0.063577707,2.09849E-06,0.009316121,0.00465806,0.009252015,0.013766579,0.003685669,0,0.095630046,0.07885115,0.001482775,0.012478142,0.016168194,0.02143593,0.01785902,0.012921325,0.063295113,0.005603664,0.002572569,0.128040165,0.000372849,0.012151549,0.015603399,0.013877474,0,0.062557975,0.002958785,0.002983882,0.006093701,0.227790092,0.002669351,0.001836585,0.02533231,0,0.044414017,0,0,0,0.00884162,0,0.387442507,0.027800363,0.001082566,0.000725908,0.001930302,0.002391281,0,0.000765816,2.92615E-05,7.74231E-05,0.028835308
