,Cg (ACAd + ACAv),Acb (ACB),"TC (AHN, LHA, TU, VMH)",AI (AId),"AI-b (GU, Ald, Alv)",AIP (AIP),"MDThal (MH, LH, PVT, IMD, MD, Amd, CM)","DpMe (APN, MRN, NPC)","Au (AUDd, AUDp, AUDv)",BLP (BLA),"BLA (BLA, LA)","BMA (BMA, COAa, COAp, MEA, PAA)","CA (CEA, IA)",Cl (CLA),PMCo (COAp),CPu (CP),"PnO (CS, PRNr, TRN)","Hipp (CA1, CA2, CA3, DG)",Ect (ECT),LEnt (ENTl),"Ent (ENTl, ENTm)",DEn (EPd),"En (EPd, EPv)","IC (CUN, ICe, MRN)",LDThal (LD),"CauThal (LGd, LGv, LP, MGd, MGm, MGv, PO, SPFp)","LS (LSc, LSr, LPO)",Mamm (MM),M1 (Mop),M2 (Mos),M (MOp + MOs),"SC (MPT, NOT)",MS (MS),DP (ORBl),MO (ORBm),VO (ORBvl),PAG (PAG),"PS (PAR, POST, PRE)",PRh (PERI),Pir (PIR),PrL (PL),"VLThal (RE, RH, SMT)","RSC (RSPd, RSPv)","RSC-b (RSPagl, RSPd, RSPv)","RSA (RSPd, RSPv)","VMThal (RT, VAL, VM, VPL, VPM)","SuC (SCm, SCs)",ot (SI),"SN (SNc, SNr)",S2 (SSs),"S1 (SSp-m, SSp-n, SSp-ul, SSs)","S1-b (SSp-II, SSp-tr, SSp-bfd)",SuM (SUM),TeA (TEa),Ins (VISC),"V (VISal, VISam, VISp)","V-b (VISp, VISpl, VISpm)",VTA (VTA)
"BLA (BLA, LA)",0.014568925,0.287666591,0.000730888,0.035742356,0.030476027,0.03472603,1.11139E-05,0,0.005523114,0.07831568,0.044829742,0.00114416,0.015163367,0.042868158,0,1.027108327,0,0.000120083,0.032055919,0.015319362,0.008093715,0.055496687,0.031215438,0,3.22487E-05,0,0.00205438,0,0.008130292,0.032975094,0.020552693,1.52624E-05,0.001271139,0.011050819,0.014690916,0.01067135,6.19829E-05,0.00043823,0.010513814,0.044789536,0.028002549,0,0.00026163,0.000258534,0.00026163,0,8.35817E-05,0.115777404,0.000109566,0.003671802,0.001697504,0.00020207,1.25429E-05,0.038127381,0.007143919,0.000980973,0.000520677,0
"BMA (BMA, COAa, COAp, MEA, PAA)",0,0.139857886,0.006192443,0,0,0,0.002107184,0,0,0,0.002755636,0.030262734,0.012495225,0,0.051114036,0,5.08225E-05,0.000949097,0.005422837,0.016950545,0.008475272,0.006801705,0.005937814,2.68721E-05,1.12019E-07,6.74028E-07,0.010571323,0,0,0,0,4.73873E-06,0.010927522,0,0.001523397,0,0.001503639,0,0.007277917,0.050304873,0,0.002885537,0,0,0,2.78204E-05,3.19731E-05,0.054738726,5.85616E-06,0,1.28849E-05,0,0.000508895,0,0,0,5.83444E-07,0.000265181
"CA (CEA, IA)",0.002749886,0.387689087,0,0.026166441,0.024971262,0.032660985,0.000575754,0,0.001950478,0.062224009,0.035795475,3.83856E-07,0.020443391,0.017605452,0,0.790790361,5.24008E-07,0.00083812,0.034552866,0.009303533,0.005355312,0.048829006,0.027539845,0,5.08149E-06,0,0.000160873,0.001932989,0.010679465,0.022745775,0.01671262,0,0,0.003472251,0.014372807,0.007273785,0,0.000625189,0.012837134,0.048824165,0.018271858,0.002969737,0.001779582,0.001480379,0.001779582,0,0.000328711,0.199203914,0.000481988,0.014640064,0.00443644,0.00391431,0.003583372,0.029940224,0.008705055,0.002286787,0.001477671,0
Cl (CLA),0.041819693,0,0.009258466,0,0,0,0.101664669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000258042,0,0.003032798,0.001465227,0.000163512,0,0,0,0,0,0,0,0,0.062145524,0.000360719,0,0,0,0.124982279,0.003307867,0.002205245,0.003307867,0.015130967,0,0,0,0,0,0,0.001028528,0,0,0,0,0.012503076
PMCo (COAp),0,0,0,0,0,0,0,0,0,0,0,0.044511928,0.000403017,0,0.147075727,0,0,9.54044E-05,0,0,0,0,0,8.44828E-06,0,1.12684E-06,0,0,0,0,0,0,0.0010065,0,0,0,0,0,0,0,0,0,0,0,0,0.000116403,6.019E-05,0,2.00997E-05,0,4.08395E-07,0,0,0,0,0,0,0
CPu (CP),0,0,4.1192E-05,0,0,0,6.73081E-06,0,0,0,0,3.39221E-05,0,0,0,0,0,0.000268871,0,0,0,0,0,1.91891E-05,0,2.19729E-07,8.73885E-05,0,0,0,0,0,0,0,0,0,0,9.62913E-05,0,0,0,0,5.91236E-05,4.19824E-05,5.91236E-05,0,0.000179201,0,0.000160877,0,0,0,0,0,0,0,4.77092E-06,0
"PnO (CS, PRNr, TRN)",0.006030805,0,0.016318172,0.002826325,0.002360109,0.002130338,0.004437384,0.020557499,0.001752045,0,0.000535726,0.000405594,0,0.003508781,0.000304037,0,0.043933673,0.055487776,0.005962777,0.027193535,0.023725907,0.002271172,0.001135586,0.020783875,0.00059822,6.74605E-05,0.017474997,0.012537561,0.013118057,0.017878926,0.015498491,0.000557695,0.027254052,0.001678307,0.002607303,0.003968781,0.145961672,0.001317207,0.003073542,0.005212616,0.003675375,0.007139133,0.001075471,0.000902672,0.001075471,0.001342896,0.013167019,0,0.001611794,0.001446697,0.001225789,0.005000698,0.010924546,0.002562863,0.0005542,0.001128814,0.000479289,0.043819381
"Hipp (CA1, CA2, CA3, DG)",0.000534353,0.001238829,0.00033344,0.000200873,0.000130879,0.000163041,7.48089E-05,0,0,0.000365614,0.000213716,4.23778E-05,0,4.01447E-06,6.82167E-05,0,0,0.554807583,0,0,0,5.5197E-05,5.54243E-05,8.39331E-05,0.014902222,0.001598666,0.117594491,8.10042E-05,0,0,0,0,0.036075098,0,0.000253567,0,0,0.000724096,0.000111406,0.000615348,0.000266534,0.000327621,0.001771373,0.001180916,0.001771373,0.000169612,0.000630443,0.000576454,0.0005322,0,3.49752E-06,0.00050761,0.00033751,0,1.1811E-05,0,0,0
Ect (ECT),0,0.024868791,6.29422E-05,0,0.002352374,0,0.000163451,5.06553E-05,0.009263567,0,0.002733012,2.94194E-06,4.36386E-05,0,0,0,0,0.012730725,0.082018279,0.060267326,0.030133663,0.008788878,0.004394439,0.000741598,0,5.67459E-06,0,0,0,0,0,0.000335808,0.002202157,0.000133139,0.003381231,0,0.046346299,0.000221119,0,0.005260481,0.004955998,0.004841966,0,0,0,0,0.004164115,0.009999318,0,0,0,0.001204682,0,0,0,0,0,0
LEnt (ENTl),0.014869325,0.160485859,0,0,0.001481203,0.006134699,0.000107374,0,0.002191012,0.022410123,0.011478131,0.003572212,0.001586087,0.000324518,0.007105787,0,0,0.039146588,0.025303964,0.23100645,0.139358414,0.013778162,0.009109745,0,0.000423927,4.91164E-06,0.007540041,0,0,0.016193008,0.008096504,0,0.011044586,0,0.000842642,0,0,0.003271566,0.019932619,0.059373818,0.002437286,0,0.003980499,0.003240119,0.003980499,1.46629E-06,0.000134608,0.036637577,9.44893E-05,0,0,0.004166524,0,0.010230317,0,0.009320716,0.003606763,9.36974E-05
