,Cg (ACAd + ACAv),Acb (ACB),"TC (AHN, LHA, TU, VMH)",AI (AId),"AI-b (Alv, Ald, GU)",AIP (AIP),"MDThal (MH, LH, PVT, IMD, MD, Amd, CM)","DpMe (APN, MRN, NPC)","Au (Aud, Aup, Auv)",BLP (BLA),"BLA (BLA, LA)","BMA (BMA, COAa, COAp, MEA, PAA)","CA (CEA, IA)",Cl (CLA),PMCo (COAp),CPu (CP),"PnO (CS, PRNr, TRN)","Hipp (CA1, CA2, CA3, DG)",Ect (ECT),LEnt (ENTl),"Ent (ENTl, ENTm)",DEn (EPd),"En (EPd, EPv)","IC (ICe, CUN MRN)",LDThal (LD),"CauThal (LGd, LGv, LP, MGd, MGm, MGv, PO, SPFp)","LS (LSc, LSr, LPO)",Mamm (MM),M1 (MOp),M2 (MOs),M (MOp + MOs),"SC (MPT, NOT)",MS (MS),DP (ORBl),MO (ORBm),VO (ORBvl),PAG (PAG),"PS (PAR, POST, PRE)",PRh (PERI),Pir (PIR),PrL (PL),"VLThal (RE, RH, SMT)","RSC (RSPd, RSPv)","RSC-b (RSPagl, RSPd, RSPv)","RSA (RSPd, RSPv)","VMThal (RT, VAL, VM, VPL, VPM)","SuC (SCm, SCs)",ot (SI),"SN (SNc, SNr)",S2 (SSs),"S1 (SSp-m, SSp-n, SSp-ul, SSs)","S1-b (SSp-bfd, SSp-II, SSp-tr)",SuM (SUM),TeA (TEa),Ins (VISC),"V (VISal, VISam, VISp)","V-b (VISp, VISpl, VISpm)",VTA (VTA)
PRh (PERI),0.124664954,2.38100621,0.090340362,0.33642412,0.318200771,0.374898075,0.010980763,0.102818015,0.193042422,0.611945007,0.417951897,0.080027909,0.231656254,0.26256772,0,5.177975749,0.009395714,0.129608521,0.638718862,1.730540176,0.865270088,0.625108556,0.393670331,0.12081493,0,0.015423865,0.088558942,0,0.694089948,0.632970907,0.663530427,0.00331187,0,0.244531192,0.175898237,0.269628023,0.359800727,0.044180378,0.440776634,1.957979018,0.237646783,0.020727138,0.020674189,0.013782793,0.020674189,0.011503608,0.154316073,0.533921083,0.006202982,0.279305403,0.106279162,0.148650742,0.002477697,0.389354629,0.21480922,0.005871134,0.016301572,0.014167016
Pir (PIR),0,0,0.000365632,0.077113035,0.08999129,0.27527034,0.000737392,0,0,0.132428664,0.066214332,0.182386622,0.050462293,0,0.211136511,0,0,0,0,1.156564927,0.583097094,0.501294907,0.340956944,0,0,0,0.022447426,0,0,0,0,0,0.003135458,0.058943431,0,0.043899274,0,0,0.195515919,4.396647913,0,0,0,0,0,0,0,0.126175267,0,0,0,0,0.000125179,0,0.01203523,0,0,0
PrL (PL),0,0,0.083255899,0.075806673,0.054003763,0.034429558,0.087031805,0.10067459,0.001132136,0.003407233,0.001703616,0.008900076,0.019326083,0.164275535,0.004234234,0.932253927,0.021088539,0,0,0,0,0.169483651,0.084741825,0.103067308,0,0.000875072,0.021665819,0,0.100842917,0,0.050421458,0,0,0,0.140540294,0.019340246,0.18853649,0,0,0,0,0.02967628,0,0,0,0.020794468,0,0.492837294,0.033130495,0,0,0.000365612,0.000901203,0,0.006943013,0,0,0.077757225
"VLThal (RE, RH, SMT)",0,0.046203406,0.00324418,0.355202092,0.228766375,0.12162514,0,0,0.027495301,0.023224205,0.026582796,0.005150209,0.004913588,0.113111148,0.004444113,0,0,0.025629439,0.378646649,0.417777913,0.254640421,0.135922016,0.071126442,0,0,0,0,0.002351085,0,0,0,0,0,1.675657301,0.172478296,1.320788065,0,0.024730855,0.178206022,0.466850478,0.017835639,0,0.025243491,0.016828994,0.025243491,0,0,0.038395099,0,0,0,0.079510315,0,0.17903883,0.023342483,0.019170152,0.017003381,0
"RSC (RSPd, RSPv)",0.309847743,0,0.007488428,0.005293554,0.004109969,0.002843376,0.005367203,0.109384107,0.005956464,0,0,0.000886497,0,0.005304407,0,0.41487992,0.040825977,0.00093002,0.033612613,0.024875729,0.024579506,0.001794216,0.000897108,0.061466125,0.210090403,0.021010825,0.001927163,0.0001228,0.318128715,0.777954051,0.548041383,0.005438107,0,0,0.003079228,0.002137719,0.149263307,0.05438123,0.000785224,0.003222985,0.009359451,0.001440932,0.546069723,0.389483564,0.546069723,0.03493337,0.30080572,0.011778327,0.021024466,0,0,0.114260507,0.003028275,0.011277373,0,0.16402394,0.082890785,0.025274481
"RSC-b (RSPagl, RSPd, RSPv)",0.206565162,0,0.017971814,0.003529036,0.002739979,0.001895584,0.010054773,0.072922738,0.003970976,0,0,0.000590998,0.001720653,0.003536272,0,0.276586613,0.027217318,0.008615953,0.022408408,0.042919371,0.035937083,0.001196144,0.000598072,0.040977416,0.517551647,0.021951735,0.001642389,0.000729412,0.21208581,0.518636034,0.365360922,0.005313392,0.000374923,0,0.002052819,0.001425146,0.099508871,0.039703336,0.004236935,0.002148657,0.006239634,0.006022679,0.628281199,0.470573893,0.628281199,0.026513085,0.200537147,0.01134819,0.014016311,0,0.000261275,0.076173672,0.00201885,0.10445418,0,0.117584055,0.096497287,0.016849654
"RSA (RSPd, RSPv)",0.309847743,0,0.007488428,0.005293554,0.004109969,0.002843376,0.005367203,0.109384107,0.005956464,0,0,0.000886497,0,0.005304407,0,0.41487992,0.040825977,0.00093002,0.033612613,0.024875729,0.024579506,0.001794216,0.000897108,0.061466125,0.210090403,0.021010825,0.001927163,0.0001228,0.318128715,0.777954051,0.548041383,0.005438107,0,0,0.003079228,0.002137719,0.149263307,0.05438123,0.000785224,0.003222985,0.009359451,0.001440932,0.546069723,0.389483564,0.546069723,0.03493337,0.30080572,0.011778327,0.021024466,0,0,0.114260507,0.003028275,0.011277373,0,0.16402394,0.082890785,0.025274481
"VMThal (RT, VAL, VM, VPL, VPM)",0.111032868,0.001269159,0.018802917,0.061079233,0.037007264,0.003098012,0.029471854,0.154428257,0.036935554,0.003465057,0.001732528,0.000131118,0.001611143,0.018837124,0.000145052,1.233315181,0.068570131,0.000840165,0.003082351,0.001644076,0.001927556,0.000827208,0.000621333,0.121872063,0.025697394,0.028854592,0.000267821,8.46091E-05,1.342477866,1.171651615,1.257064741,0.007825989,0,0.0338956,0.013640805,0.01197044,0.220534976,0.004564586,0.000291418,0.002988181,0.105548071,0.018382781,0.016119214,0.011475458,0.016119214,0.106674674,0.199753835,0.010945101,0.008371314,0.414671052,0.397381944,0.786756108,0.00178991,0.001613164,0.049882382,0.017098992,0.008414217,0.027623341
"SuC (SCm, SCs)",0,0,0.003348717,0,0,0,0.005973981,0.124591845,0,0,0,0.000410432,0.000127957,0,0,0,0.057981476,0.007494084,0,0,0,0,0,0.139268691,0,0.044617372,0,0,0,0,0,0.021222866,0,0,0,0,0.190497461,0,0,0,0,0.003075832,0,0,0,0.004362747,0.298226944,0.00211279,0.002832398,0.000115613,6.13945E-05,0,0,0,0,0.000294668,0,0.010421472
ot (SI),0,0,0.071274908,0.062053709,0.029168567,0.014348793,0.018936295,0.035274903,0,0.128896006,0.069201245,0.022199698,0.008069115,0.001677469,0,0,0,0,0,0,0,0.049485607,0.04850881,0.035274903,0,0,0,0,0,0,0,0,0,0,0.002754268,0,0.013093461,0,0,0,0,0.003417061,0,0,0,0.005347586,0,0,0,0,0,0,0,0,0,0,0,0.03150478
"SN (SNc, SNr)",0,0.133818597,0.037940369,0.011728735,0.006165489,0,0.036719316,0.606084129,0,0,0,0,0.011380453,0.012443869,0,4.293063223,0.005652742,0.004699382,0,0.001504845,0.001247413,0.003933672,0.001966836,0.602086517,0.008332187,0.008519906,0.01011845,0,0,0,0,0,0.005309534,0.002549236,0.004984022,0.001219077,0.153451595,0,0,0.000294334,0.005675864,0.004838321,0.022936232,0.015290821,0.022936232,0.092201898,0.52146718,0.053140489,0.007579487,0,0.001217591,0.000934885,0,0,0,4.822E-05,0,0.034332341
S2 (SSs),0,0.022482768,0,0.063906214,0.082388534,0.10565857,0.001192976,0.06269308,0.012367048,0,0,0,0,0.047579762,0,1.665066333,0.005854332,0.002893138,0,0,0,0,0,0.058968774,0,0.017288419,0.000672954,0,0.828155636,0.250508001,0.539331819,0.000906605,0,0.013984795,0,0.005831948,0,0,0.020799472,0,0,0.00038249,0,0,0,0.112943998,0.024895456,0,0.02181669,0.82204246,0.618545217,0.337997606,0,0,0.368155024,0,0,0.000347832
"S1 (SSp-m, SSp-n, SSp-ul, SSs)",0,0.011209651,0.000130566,0.023253549,0.049900387,0.043508323,0.001129379,0.051706979,0.022072955,0.000523971,0.000456305,0,0.001351338,0.031123894,0,1.800030998,0.004688999,0.000941026,0.006200116,0,0,0.0042313,0.002188354,0.050762708,0,0.008699809,0.003344397,1.59315E-07,0.905638733,0.227252284,0.566445509,0.000672794,0,0.003496199,0,0.001457987,0,0,0.012580098,0.001571638,0,9.56225E-05,0,0,0,0.091002408,0.023292814,0.000315568,0.035409045,0.562299218,0.422490442,0.177855089,0,0.00651599,0.199018574,0,0,0.003978913
"S1-b (SSp-bfd, SSp-II, SSp-tr)",0.047275534,0.033601142,0.002056758,0.00254219,0.002351784,0.000889291,0.002831932,0.100674063,0.166496819,0.00095821,0.000595626,7.52547E-05,0,0.005032244,0,1.058241801,0.035083292,0.002268317,0.036838729,0.024375956,0.012298527,0.004412586,0.002219774,0.071297857,0.019815929,0.029421035,0.000254374,8.93495E-06,0.43828988,0.437127574,0.437708727,0.003871425,0,0.031517694,0.004530882,0.039438204,0.113227057,0.001076772,0.017769514,0.0113858,0.017839246,0.005776453,0.01119054,0.007662683,0.01119054,0.077509533,0.158844439,0,0.015898413,0.157075412,0.071790013,0.418067325,0.000130151,0.076649849,0.002694126,0.03690203,0.013895019,0.004624905
SuM (SUM),0,0,0.188967117,0,0,0,0.00598914,0,0,0,0,0,0,0,0,0,0,0.221968101,0,0,0.056626698,0,0,0,0,0,0,0,0,0,0,0,0.004028148,0,0,0.009173198,0,0.006000851,0,0,0,0,0.000395823,0.002223005,0.000395823,0,0,0,0,0,0,0,0,0,0,0,0,0
TeA (TEa),0,0,0,0.087707544,0.07359647,0.108162207,0.004615345,0.034869761,0.053569196,0.126098332,0.092653908,0.008306857,0.038654013,0.058201972,0,1.932409715,0.000762458,0,0.330642359,0,0,0.003998326,0.001999163,0.021540893,0.016301825,0.034827818,0.000356872,0,0.240420764,0.134041306,0.187231035,0.007582044,0,0.025269702,0,0.005589793,0.027401846,0,0.008477423,0,0,0.000985518,0,0.001438564,0,0.018579565,0.160204675,0.022970527,0.006755151,0.216383406,0.100407228,0.057394531,0,0.250374974,0.117613243,0.174426399,0.120674499,0.00357327
Ins (VISC),0,0,0,0.093067801,0.164890506,0,0,0,0,0,0,0,0,0,0,0,0.008446034,0,0,0,0,0,0,0,0,0.001578103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021166047,0,0,0,0,0,0,0,0,0
"V (VISal, VISam, VISp)",0.157409302,0.015358648,0.000901,0.003440191,0.002382716,0.00475509,0.005903993,0.046806676,0.023852923,0.002366224,0.001777836,0.001682035,0.002725138,0.004902191,0.00120103,0.994315336,8.14326E-05,0.01763897,0.116311874,0.019932492,0.013541219,0.001257794,0.001032404,0.002118575,0.327162781,0.076410342,0.003899948,0.000174682,0.140575837,0.228281007,0.184428422,0.015665315,0.00057298,0.019944946,0.008208476,0.067203072,0.006590039,0.012652909,0.003914567,0.005744241,0.01674751,0.008444458,0.224991741,0.195948246,0.224991741,0.045084725,0.212801461,0.003803645,0.005561285,0.008244987,0.002497681,0.046642555,0,0.101571893,0.004479394,0.620894802,0.433650776,0
"V-b (VISp, VISpl, VISpm)",0.052690515,0.005119549,0.00881943,0.00114673,0.000794239,0.00158503,0.002568098,0.017447486,0.007950974,0.000788741,0.000592612,0.000560678,0.001667884,0.001634064,0.000400343,0.331438445,0.000853109,0.020560878,0.038770625,0.195042919,0.124126864,0.000419265,0.000344135,0.000706192,0.140182166,0.04995445,0.00282169,5.82274E-05,0.046858612,0.076093669,0.061476141,0.006328125,0.000190993,0.006648315,0.002736159,0.022401024,0.00219668,0.036241156,0.02025103,0.001914747,0.005582503,0.002834941,0.114051251,0.091352085,0.114051251,0.016871185,0.128657675,0.016465467,0.00205034,0.002748329,0.00083256,0.015547518,0.000707029,0.033857298,0.001493131,0.24740434,0.175832713,0.007718793
VTA (VTA),0,0.751721079,0.057224153,0,0,0,0.013584875,0,0,0.037633022,0.018816511,0.002801271,0.017588841,0,0,0.375187678,0.005695856,0,0,0,0,0.008702715,0.01251635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111172029,0,0,0.020455364,0,0.026841398,0.013031728,0.008687818,0.013031728,0.005818448,0,0.815294821,0.011632552,0,0,0,0,0,0.004669872,0,0,0
