,Cg (ACAd + ACAv),Acb (ACB),"TC (AHN, LHA, TU, VMH)",AI (AId),"AI-b (Alv, Ald, GU)",AIP (AIP),"MDThal (MH, LH, PVT, IMD, MD, Amd, CM)","DpMe (APN, MRN, NPC)","Au (Aud, Aup, Auv)",BLP (BLA),"BLA (BLA, LA)","BMA (BMA, COAa, COAp, MEA, PAA)","CA (CEA, IA)",Cl (CLA),PMCo (COAp),CPu (CP),"PnO (CS, PRNr, TRN)","Hipp (CA1, CA2, CA3, DG)",Ect (ECT),LEnt (ENTl),"Ent (ENTl, ENTm)",DEn (EPd),"En (EPd, EPv)","IC (ICe, CUN MRN)",LDThal (LD),"CauThal (LGd, LGv, LP, MGd, MGm, MGv, PO, SPFp)","LS (LSc, LSr, LPO)",Mamm (MM),M1 (MOp),M2 (MOs),M (MOp + MOs),"SC (MPT, NOT)",MS (MS),DP (ORBl),MO (ORBm),VO (ORBvl),PAG (PAG),"PS (PAR, POST, PRE)",PRh (PERI),Pir (PIR),PrL (PL),"VLThal (RE, RH, SMT)","RSC (RSPd, RSPv)","RSC-b (RSPagl, RSPd, RSPv)","RSA (RSPd, RSPv)","VMThal (RT, VAL, VM, VPL, VPM)","SuC (SCm, SCs)",ot (SI),"SN (SNc, SNr)",S2 (SSs),"S1 (SSp-m, SSp-n, SSp-ul, SSs)","S1-b (SSp-bfd, SSp-II, SSp-tr)",SuM (SUM),TeA (TEa),Ins (VISC),"V (VISal, VISam, VISp)","V-b (VISp, VISpl, VISpm)",VTA (VTA)
"BLA (BLA, LA)",0.148621137,1.621325369,0.020033283,0.175337109,0.138407135,0.021427381,0.000315184,0,0.092215853,0.347943345,0.236748315,0.162603065,0.332460231,0.190650877,0.258972586,3.124113879,0,0.0531374,0.869516436,0.31959362,0.209719629,0.24196736,0.140262939,0.000306896,0,0.00147971,0.029513397,0,0.14612821,0.380116102,0.263122156,0.000137433,0.003813618,0.087749383,0.144399684,0.101782981,0,0.033562737,0.174180674,0,0.326198267,0.000733845,0.002821257,0.002193351,0.002821257,0,0,0.619418232,0,0.031265304,0.0141256,0.039936992,0,0.682645477,0,0.007461101,0.005637848,0
"BMA (BMA, COAa, COAp, MEA, PAA)",0,0.751102085,0.131128847,0.082179991,0.063163637,0.126009343,0.003506312,0.003728788,0.008673861,0.756774764,0.467808371,0.363585751,0.240413815,0.000871187,0.543363786,0,0.00042138,0.056915594,0.164704066,0.704581446,0.393893756,0.327558254,0.278452972,0.003865831,0,0.000208334,0.05678949,0.00048706,0,0,0,1.15709E-05,0.020332865,0,0.004515951,0.004108771,0.009772533,0.001473596,0.120370168,1.877860488,0,0.004868274,0,0,0,0.001631057,0.002788377,0.559396492,0.001655899,0,0,0,0.003619738,0.077104337,0.003320599,0,4.5633E-05,0.010562789
"CA (CEA, IA)",0.008666783,0.828558262,0.011283663,0,0.039738201,0.194107607,0.00036456,0.04466233,0,0,0,0,0,0.011523098,0,1.510641427,0.003995503,0.000409542,0,0,0,0.000270115,0.000135058,0.047067741,0,0.001304299,0,0.009020411,0.016171381,0.027292708,0.021732045,0,0,0.018115844,0.003205973,0.001996617,0.069065796,0.002364342,0,0,0.029163904,0.004267967,0.003881105,0.002716208,0.003881105,0.000502486,0,1.262276629,0.003913764,0.00884298,0.017572553,0.007134475,0.002221037,0,0.078309009,0.00023103,0.0013753,0.011331648
Cl (CLA),0.704544746,0,0.188955369,1.069983592,1.05575773,0.13021353,0.067004049,0,0.331283088,0.482781949,0.333586365,0.110890744,0.129127457,0.549397407,0,0,0,0,1.419555107,2.95303208,1.716416198,1.433348403,0.757542366,0.005252225,0,0.006945275,0.030727809,0.000683956,1.149956297,1.624981631,1.387468964,0,0,0.006302815,0.220934701,0.14119996,0.316597082,0.238984351,1.339533244,2.111329114,0.557007883,0.120618601,0.547182101,0.440513639,0.547182101,0.038413975,0,0.649079752,0.115446656,3.630893226,1.130961445,0.151621171,0.008948182,0.900594051,0.517123064,0.354270482,0.345134648,0.142952333
PMCo (COAp),0,0,3.35582E-05,0,0,0.002797799,9.66505E-05,0,0,0.002399315,0.001199657,0.407748446,0.036350542,0,0.508120807,0,0,0.026109548,0,0.430562021,0.236173748,0.111228452,0.093104839,0,0,0,0.059910197,0,0,0,0,0,0.024707712,0,0,0,0,0,0,0.881757234,0,0,0,0,0,0.000222819,0,0,0,0,0,0,0,0,0,0,0,0
CPu (CP),0,0,0,0.009178084,0.011599238,0.068206782,0,0,0.000518139,0.005876258,0.00367682,0,0,0,0,0,0,0,0,0,0,0,0.002188144,0,0,0.00038507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029420893,0.164481596,0,0,0,0,0.01312712,0.063223559,0,0,0
"PnO (CS, PRNr, TRN)",0.002991329,0,0.031899505,0.000181829,0.000708256,0,0.006974758,0.037103137,0.001060121,0,0.000171758,4.94283E-05,0,0.000469725,0.000211713,0,0.020490823,0.051892065,0.005789362,0.017769156,0.013955007,0.000541463,0.000270731,0.034822292,0.000358964,4.95492E-05,0.015783573,0.015928912,0.004083619,0.003299418,0.003691519,0.000561696,0.014143103,0.000310348,0.001246046,0.001676424,0.151634597,0.000882616,0.001387329,0,0.000997458,0.006752903,0.000953591,0.000737595,0.000953591,0.002410036,0.01701149,0,0.002245769,0.000532338,0.000763247,0.002914799,0.01146039,0.001497601,0.000426838,0.000840595,0.000465916,0.054467873
"Hipp (CA1, CA2, CA3, DG)",0.004321084,0.010902285,0.002620586,0,0,0.002072057,0.000340951,0,0,0.00652823,0.003454939,0.001540704,0.000385091,0,0.002438801,0,7.95711E-05,1.171928625,0.005780902,0.04248574,0.041925097,0.000592722,0.000792461,0,0.013976653,0.002152416,0.155679365,0.000382002,0,0.009900727,0.004950363,0,0.013005387,0,0.000333825,0.001609062,0.000549072,0.009170288,0.000595825,0.004402306,0.004959436,0.000764346,0.000291256,0.000498829,0.000291256,0.001467927,0,0.004287021,0,0,0.000744235,0.021384175,0.001320745,0,0.000106065,0.000244085,9.83442E-05,0.000310831
Ect (ECT),0.001266255,0,0.009899239,0,0,0,0.002139881,0.023140448,0.178227179,0.033976671,0.096164538,0,0.020801885,0.049376041,0,0,0.000278121,0,0,0,0,0,0,0.054990117,0.0520762,0.045768289,0.000575176,0,0,0,0,0.001841033,0,0,0.013181307,0.011231204,0.118071475,0,0,0,0.016573272,0.00685271,0.035968751,0.042210336,0.035968751,0,0.026612574,0,0,0,0,0.005508773,2.55962E-06,0.315822485,0,0.126119997,0.090472731,0.002139937
LEnt (ENTl),0.059513577,0.492017268,0,0.032323406,0.039714927,0.079992797,0.000546982,0.000154499,0.072901123,0.367611402,0.239404815,0.090726917,0.079285213,0.065205322,0.198404936,0.552678809,0,0.404364896,0.338314305,1.696756538,1.014236262,0.28444101,0.183768533,0,0,0.001060179,0.019573962,0.001528589,0.032788176,0.13313113,0.082959653,2.93436E-05,0.018079075,0.023434693,0.030525626,0.044065302,0,0.049410817,0.253804776,1.107646477,0.046072578,0.000556308,0.040018626,0.033653479,0.040018626,0.000106373,0,0.169013421,0.000220547,0.020950905,0.010513036,0.056888637,0.000579298,0.211546301,0.008965381,0.095978434,0.061234982,0
"Ent (ENTl, ENTm)",0.029756788,0.246008634,0,0.016161703,0.020235965,0.039996398,0.000402699,7.72497E-05,0.036450562,0.183805701,0.119702407,0.045363458,0.039642606,0.038041418,0.099202468,0.276339404,2.99038E-06,0.409792581,0.226604884,0.848378269,0.542041548,0.142220505,0.091884266,0,0.050014482,0.002361737,0.009786981,0.001361071,0.016394088,0.066565565,0.041479827,1.46718E-05,0.009039538,0.011717347,0.015262813,0.022032651,0,0.071816278,0.126902388,0.553823238,0.023036289,0.000299605,0.04045722,0.036530353,0.04045722,0.001530809,0,0.08450671,0.000110273,0.010475452,0.005256518,0.028444318,0.000289649,0.172146317,0.004482691,0.063625949,0.056473542,0
DEn (EPd),0,0,0.020174359,0,0,0,0.015206651,0.011554001,0,0,0,0.131956647,0.008580833,0,0.481146777,0,0.000714883,0.007613988,0,1.502832643,0.869551803,0.27654613,0.138273065,0.011554001,0,0.000716032,0,0.001334945,0,0,0,0,0.006306743,0,0,0,0.024304045,0.006110806,0,0,0,0.001128896,0.008030476,0.005942264,0.008030476,0.002829498,0,0,0.005193686,0,0.016984781,0.000958433,0.000239263,0,0,0.001723894,0.003356545,0.010938584
"En (EPd, EPv)",0,0,0.128073724,0,0,0,0.029924294,0.005777001,0,0,0,0.899048233,0.044196702,0,2.205412877,0,0.000530668,0.068120904,0,4.763024965,2.64239137,0.138273065,0.069136532,0.005777001,0,0.000448536,0,0.000667473,0,0,0,0.000407562,0.013479777,0,0,0,0.012152022,0.003055403,0.026840046,0,0,0.008182209,0.004015238,0.002971132,0.004015238,0.003132732,0.010315996,0,0.002596843,0,0.00849239,0.000479217,0.00143406,0,0.135199411,0.000861947,0.001678273,0.014648232
"IC (CUN, ICe, MRN)",0,0,0.032829247,0.001929131,0.001669106,0,0.004521786,0.098133204,0.005379157,0.001489512,0.000744756,0.000465314,0.008157598,0.003067979,0,0.03854541,0.056243589,0.001538418,0,0,0,0,0,0.200878177,0,0.03329413,0,0.000661637,0,0,0,0.006421831,0,0,0,0,1.110133617,0.000347567,0,0.001027292,0,0.005875545,0,0,0,0.009159298,1.132773305,0.047738144,0.052820782,0.002696829,0.002103806,0.000186971,0.000258765,0.000378904,0.000822481,0.007659149,0.000310265,0.014339292
LDThal (LD),0.10009345,0,0.00018496,0,0,0,9.77427E-05,0,0,0,0.00449999,0.000506063,0.004291714,0,0.000133997,0.55712461,0,0,0.006340461,0.028167868,0.053761054,0,0.000335075,0.000411687,0.006463463,0.001463877,4.07142E-05,0,0.188172291,0.167694556,0.177933423,0.000297509,0,0,0,0,0.006661211,0.606645279,0.003431344,0,0.00176405,0,0.595491496,0.473293374,0.595491496,0.024660507,0.000231271,0,0,0,0,0.003232105,0,0,0,0.05250012,0.023930637,0.000370966
