Time,Condition,iM2,iM1,iAI,iPrL,iMO,iVO,iDP,cM2,cM1,cAI,cPrL,cMO,cVO,cDP,iCg,iM,iS1,iAI-b,iCl,iDEn,iPir,iAcb,iot,iCPu,iLS,iMS,cCg,cM,cS1,cAI-b,cCl,cDEn,cPir,cAcb,cot,cCPu,cLS,cMS,iRSC,iS1-b,iS2,iIns,iAIP,iEn,iHipp,iMDThal,iLDThal,iVLThal,iVMThal,iTC,iCA,iBLA,iBMA,cRSC,cS1-b,cS2,cIns,cAIP,cEn,cHipp,cMDThal,cLDThal,cVLThal,cVMThal,cTC,cCA,cBLA,cBMA,iRSC-b,iV,iAu,iTeA,iEct,iPRh,iLEnt,iBLP,iPMCo,iSC,iCauThal,iSN,iMamm,iDpMe,iVTA,iPAG,cRSC-b,cV,cAu,cTeA,cEct,cPRh,cLEnt,cBLP,cPMCo,cSC,cCauThal,cSN,cMamm,cDpMe,cVTA,cPAG,iSuM,cSuM,iV-b,iEnt,iPS,iRSA,iSuC,iIC,iPnO,cV-b,cEnt,cPS,cRSA,cSuC,cIC,cPnO
3 MPI,NTG,23,5,2.5,0,0,1.5,0,8,5,3.5,1,0,0.5,1.5,2.5,16,2,0.5,0.5,0.5,4,0,0,5,0,0,0,2.5,0.5,0,0,0,0,0.5,0,0,0,0.5,1.5,9.5,12,7.5,5,0,1,2,0.5,0,0.5,0,0.5,9.5,0,1,0,0,0.5,1,0,0,0,0,0,0,0,0,4.5,0,1,1,0.5,0.5,0,0.5,8,0,4,1,0,21,0.5,0,2,0.5,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0.5
3 MPI,NTG,8.5,4,1.5,0,0.5,1.5,0,1.5,2,1,0,0,2,0.5,0,5,1,0,0,0,2,0,1,6,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,1,4.5,2,1.5,1.5,0,0,0,0,0,0,1,0,1.5,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0.5,3,0,0,1,0,0.5,0,0,2,0.5,0,0,2,10.5,0.5,0,0.5,0,0,0,0,0,0,0,2.5,0,0,0.5,0,0,1,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
3 MPI,NTG,3.5,2.5,0,0,0,0.5,0,0,2.5,0,0,0,0,1,0,1.5,2,1.5,0,0,0.5,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0,0,4,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0.5,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0
3 MPI,NTG,3,1,0,0.5,0,0,1.5,0,0,0,0,0,0,0,0.5,4.5,3.5,6.5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.5,0,0,0,3.5,3,0.5,0.5,0,0.5,0,0,0,0,0,0,9.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0,0,0,0,0,0,0,16,0,0,1.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0
3 MPI,NTG,2,0.5,0,0,0,1,0.5,0,0.5,0.5,0,0,0.5,0,0,8,1.5,2.5,0,0,0.5,0,0,1.5,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,2.5,1,0,1.5,0,0.5,0.5,1,0,0,15.5,0,0,2,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0.5,0,0,0,0,0,0,0
3 MPI,NTG,6.5,3,1,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0.5,3,1,1,0,0,0,0,0,2.5,1.5,0,0,1.5,0,1,0,0,0,0,0,0,0,0,0.5,1.5,1.5,0.5,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,1.5,0,0,0,1,0,0,0.5,0,0,0.5,0,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0
3 MPI,G20,7,1,0,0.5,0.5,0.5,2.5,1.5,0,0.5,0,0,0,1.5,3.5,19.5,12,5,0,0,2.5,0,0,7,0,0,0.5,5,0.5,0.5,0,0,0,0,0,0,0,0,0,9.5,7.5,0,0,0,2.5,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,3.5,0.5,3,0.5,0,5,0,1.5,0,1.5,23.5,0,0.5,0,0,0,0.5,0,0,0,0,1.5,0,0,0,0,0.5,0,0,0,0.5,1,0,1,1,0,0,0,0,0.5,0,1,0,0,0,0,2
3 MPI,G20,19.5,5,4,0,0,1,0.5,5.5,3,2,0,0,0.5,0,1.5,22.5,17.5,4,0.5,0,1.5,0.5,0,5,0,0,0.5,2.5,6,3,0.5,0,0.5,0,0,0.5,0,0,4.5,9,7.5,5,2.5,0.5,2,5,0,0,0,0,0.5,3.5,0,0,2.5,2.5,5,1.5,0,0.5,1,0,0,0,0,0,0,0,0,7.5,1,1.5,1,0.5,2,1,3,0,0,41,0.5,0,7,0,0,0,0,0,1,0,1.5,0,0,0,0,0,0,0,0.5,0.5,0,0,1.5,4.5,0,0,0,1,0,0.5,0.5,0,0,0,0,0
3 MPI,G20,15,2,1.5,1.5,0,0.5,1.5,3.5,0.5,1,1,1.5,0.5,2.5,0.5,7.5,0,1.5,0,0,3.5,3.5,0,4.5,0,0.5,0,0,0.5,1,0,0,1.5,0,0,1,0,0,0,3.5,0.5,0.5,0.5,0,3,1.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0.5,0.5,0,9,10.5,30.5,0,2.5,19,0,0.5,3,0.5,0.5,0,0,0,0,1,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,1.5,0,1,1,0.5,0,0,2.5,0,0,0,0,0,0.5,0,0
3 MPI,G20,31.5,5.5,3.5,0,0,0.5,2.5,7.5,4,1,0.5,0.5,2,2,0,4.5,1.5,0.5,0,0,1.5,0,0,9.5,0,0,0,2,1.5,0,0,0,0,0,0,0,0,0,1.5,6,2.5,2.5,1,0.5,2.5,3.5,0,0,2,0,0.5,0.5,0,2,0,0,0,0,0,0,0.5,3.5,0,0,0,0,0,0,1,0,1,2,0,0,2,0.5,5,0.5,1.5,16.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0.5,1.5,0,0.5,0.5,0,2,1,0,0,0,0,1,0.5,0,0.5,0,0,0,0
3 MPI,G20,0.5,2.5,0.5,0,0.5,0,0.5,2.5,1.5,0.5,0,0,0,1,0,0.5,1.5,4,0,0,1,0,0,0,2,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0.5,0,5,0.5,0,0,0,0.5,0,6.5,0,0,0.5,1.5,0,0.5,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,0.5,0.5,2.5,0.5,1,0,0,25.5,0,0,3.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
3 MPI,G20,4,0,0.5,0,0,0,0,1,0,1.5,0,0,0,0,0.5,3.5,0,0,0,0,0.5,0,0,0,0,0,0,2,1,0,0,0,2,0,0.5,0.5,0,0,2,2.5,1,0.5,1,0.5,1,0.5,0,0,0,1,0,1.5,0,0,1,0.5,1.5,0,0,0,0,0,0,0,0,2,0,1.5,0,0.5,0,0,0,0,1,0,2.5,0,0.5,21.5,0,0.5,4,0,0,0,0,0,0,0.5,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0
6 MPI,NTG,9,8.5,4.5,0.5,0,1,1,5,4.5,4.5,0.5,0,0.5,1,0,2,0.5,0.5,0.5,0,3,1,0,1,1,0,0,4.5,4,0,0,0,0.5,1,0,2,0,0,0,1,1.5,2.5,0.5,0,0,1,0,0,0,0,0.5,6.5,0,0,0.5,0,0.5,1,0,0,0,0,0,0,0,0,7.5,0,0,1,0,0,0.5,0.5,2,0,0,0.5,1,3.5,0,0,1.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
6 MPI,NTG,5.5,0.5,1,0,0.5,0,0,3,0.5,0.5,0,0.5,0,1,2,14,0.5,0,0.5,0,0,0.5,0,6.5,1.5,0,0,5,3,1.5,0,0,0.5,0.5,0,3.5,0,0,3,3.5,2.5,0,0,0,1.5,1,0,0.5,0,0.5,0.5,1.5,0,0,0,1,0,0,0,0.5,0,0,0,0.5,0,0.5,2,0,0.5,2,0.5,0,0,0,1,0,0,0,0,3.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,1.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5
6 MPI,NTG,6,0.5,0,0.5,0,0,0,0.5,0,0.5,1,0,0,0,1.5,10,1.5,0,0,0,2,1.5,0,4.5,1,0,0,1.5,0.5,2,0,0,1.5,0,0,0.5,0,0,1,2,2.5,0.5,1.5,0.5,5,0,0,0,0.5,0,0.5,1,0.5,0,1,1,0,1,0,0.5,0,0,0,0,0,0,4.5,0.5,1,1,1.5,0,0,1,0,0,1,0,0,3,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0
6 MPI,NTG,12.5,6.5,4,0,0,1.5,0,5,3.5,1,0,0,0.5,0.5,1,11.5,1.5,0.5,0,0,0,1,0,18,0,0,0,4,2,0,0,0,2,0,0,4,0,0,0.5,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,3.5,0,0,2,1,0,1.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0.5,0,0,0,0,0
6 MPI,NTG,10,2.5,0.5,0,0,0.5,0,2,1,1,0,0,0.5,0,1.5,14,5.5,2.5,0.5,0,0.5,0,0,13.5,0,0,0,8.5,0.5,1,0,0,0,0,0,0.5,0,0,2.5,4,7,0,0,0,0,0,0,0,0,0,0,6.5,0,1,2,3,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,1.5,0.5,1.5,0,0,1.5,0.5,1,0,0,0.5,0,0,1,0.5,0,0.5,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.5,0,0,0,0,0.5,0
6 MPI,NTG,14,2.5,0,0.5,0,1.5,1.5,1.5,1,1,0.5,0,0,1.5,8.5,22,4.5,11,0,0,1.5,0,0,25.5,0.5,0,1.5,7,1,1.5,0,0,0,0.5,0,1.5,0,0,0,8,7,1.5,1,0,0.5,2,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,4.5,0.5,0.5,1,1,2.5,0,0,0,0,5.5,0,0,0.5,0.5,0,1,0.5,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0,2,3,0.5,0,0,0,0,0.5,0,0,0,0,0,0
6 MPI,G20,9.5,5,5.5,0,0,0,0.5,1,1.5,1,0,0,0,0,1.5,13.5,12,3.5,0,0,1,0,0,8,0.5,0,0,3,4,4.5,0,0,0,0.5,0,1,0,0,1,10,6.5,4.5,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0.5,0,0,2.5,0.5,1.5,1.5,2,3,0.5,1.5,0,0,2,0,0,0.5,1,0,0.5,0.5,0.5,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,1,0,0,0.5,0,0,0.5,0,0
6 MPI,G20,11,0.5,1.5,0.5,0,0,2,5,1.5,1,0,0,0,0.5,2.5,13.5,5.5,5,2,2.5,1.5,1.5,0,13.5,0.5,0,0,2,0,2.5,0.5,0,0,0,0,3,0,0,0,6,9.5,3.5,2.5,0,1.5,0,0,0,0,0.5,0,0,0,0,0,1,0,0.5,0,1.5,0.5,0,0,0,0,0,0,1.5,0,0,1.5,0,0.5,1,2.5,0,1,0,0,1,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0
6 MPI,G20,6.5,7.5,3.5,0,0,0.5,1,4,1,1,0,0,0,0,0.5,9.5,12,7,0,0,0.5,0,0,3.5,0,0,1,2.5,0,0,0,0,0,0,0,0.5,0,0,0.5,3.5,1,2,1.5,0,0,0,0,0,0.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0.5,1,1,0,1.5,0,1,0,0,3,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,1.5,1,0,0,0.5,0
6 MPI,G20,7.5,2.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,21.5,17,2.5,0,0,1.5,0,0,8.5,0.5,0,0,3,0,0.5,0,0,0,0,0,0.5,0,0,0.5,3.5,3.5,1.5,1,0,0.5,0,0,0,0,0,0.5,16,0,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0.5,0,0.5,2,0,0,0,0.5,3,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,1,0,0,0,0,0,0.5,0,0,0,0,0
6 MPI,G20,15.5,14,3,0,0,0.5,0,11,3.5,3,0,0,0,0.5,0,18.5,9.5,6.5,0,0,0.5,0.5,0,28.5,3,0,1,7.5,1.5,1.5,0,0,0,0.5,0,2,0,0,0,1,4,1,1.5,0,6.5,0,0,0,0,0,0,2,0.5,1,1,0.5,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,1,2.5,2,1,0.5,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6 MPI,G20,,,,,,,,,,,,,,,0.5,6.5,8.5,0,0,0,0,0,0,1,0,0,0,5,2,2,0,0,0,0,0,1,0,0,1,4,2,1.5,1,0,1.5,0,0,0,0,0,0.5,9,0,0,1,1,0,0.5,0,0,0.5,0,0,0,0,0,4.5,0,0,3.5,1,2,0.5,0.5,1,0,0,0,0,3,0,0.5,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0
6 MPI,G20,18,6.5,2,0,0,0.5,2,5,6,1,0,0.5,0,1.5,1,14.5,3,10.5,1.5,4.5,5,0,0,16,0,0,0.5,12,6,1.5,0,0,0.5,0,0,4.5,0,0,0.5,2,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0.5,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0.5,0.5,0.5,0.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,1
